#SampleID	BarcodeSequence	LinkerPrimerSequence	Species	Location	Date	Sample	Description
LG002.81657			lyrata	Longwood	9_16	spare	JW-LG002_81657.dir
LG003.81515			vinnedijkil	Longwood	9_17	skin	JW-LG003_81515.dir
LG004.81345			microcarpa	Longwood	9_18	spare	JW-LG004_81345.dir
LG008.81337			benjamina	Longwood	9_20	spare	JW-LG008_81337.dir
LG010.81317			elasitca	Longwood	9_21	spare	JW-LG010_81317.dir
LG011.8148			carica	Longwood	9_22	skin	JW-LG011_81481.dir
SK002.81485			HomoSapien	Ear	9_30	spare	JW-SK002_81485.dir
SD001.83487			Carica	Seabreeze	10_21	spare	JW-SD001_83487.dir
AB002.87372			Carica	Arboretum	11_4	spare	JW-AB002_87372.dir
AB003.87301			Carica	Arboretum	11_5	spare	JW-AB003_87301.dir
AB004.87975			Carica	Arboretum	11_6	skin	JW-AB004_87975.dir
